iv_threshold,end_buffer,initial_capital,enable_ml,net_pl
0.2,5,100000.0,False,10622.0
0.2,5,100000.0,True,10622.0
0.2,10,100000.0,False,8894.0
0.2,10,100000.0,True,8894.0
0.2,15,100000.0,False,15116.0
0.2,15,100000.0,True,15116.0
0.25,5,100000.0,False,7896.0
0.25,5,100000.0,True,7896.0
0.25,10,100000.0,False,-1256.9999999999995
0.25,10,100000.0,True,-1256.9999999999995
0.25,15,100000.0,False,-3432.9999999999995
0.25,15,100000.0,True,-3432.9999999999995
0.3,5,100000.0,False,9580.0
0.3,5,100000.0,True,9580.0
0.3,10,100000.0,False,9925.0
0.3,10,100000.0,True,9925.0
0.3,15,100000.0,False,10218.0
0.3,15,100000.0,True,10218.0
